id,date,region,state,state_code,sector,station_type,station_name,station_unit,monitored_capacity,planned_generation,actual_generation,capacity_utilization
33230,10/7/2017,Northern,Delhi,7.0,State,Ther (Gt),Pragati Ccgt-Iii,Single Unit,1500.0,6.12,11.89,0.7926666666666667
33253,10/7/2017,Northern,Himachal Pradesh,2.0,State,Hydro,Bhakra H P S,Single Unit,1325.0,10.64,17.21,1.298867924528302
33266,10/7/2017,Northern,Himachal Pradesh,2.0,Private,Hydro,Karcham Wangtoo Hps,Single Unit,1000.0,6.45,9.16,0.9159999999999999
33276,10/7/2017,Northern,Himachal Pradesh,2.0,Central,Hydro,Nathpa Jhakri Hps,Single Unit,1500.0,14.84,17.58,1.172
33385,10/7/2017,Northern,Uttarakhand,5.0,Central,Hydro,Tehri St-1 Hps,Single Unit,1000.0,4.55,7.19,0.719
33587,10/7/2017,Western,Gujarat,24.0,State,Hydro,S Sarovar Rbph Hps,Single Unit,1200.0,13.55,0.0,0.0
33615,10/7/2017,Western,Gujarat,24.0,Private,Ther (Gt),Dgen Mega Ccpp,Single Unit,1200.0,0.0,0.0,0.0
33619,10/7/2017,Western,Gujarat,24.0,Private,Ther (Gt),Sugen Ccpp,Single Unit,1147.5,11.52,21.45,1.8692810457516338
33679,10/7/2017,Western,Madhya Pradesh,23.0,Central,Hydro,Indira Sagar Hps,Single Unit,1000.0,6.29,1.52,0.152
33720,10/7/2017,Western,Maharashtra,27.0,State,Hydro,Koyna-Iv Hps,Single Unit,1000.0,4.03,1.98,0.198
33779,10/7/2017,Western,Maharashtra,27.0,Central,Ther (Gt),Ratnagiri Ccpp,Single Unit,2220.0,11.64,13.16,0.5927927927927927
33862,10/7/2017,Southern,Karnataka,29.0,State,Hydro,Sharavathi Hps,Single Unit,1035.0,13.29,6.0,0.5797101449275363
33975,10/7/2017,Southern,Tamil Nadu,33.0,Central,Nuclear,Kudankulam,Unit 1,1000.0,21.58,14.37,1.4369999999999998
33976,10/7/2017,Southern,Tamil Nadu,33.0,Central,Nuclear,Kudankulam,Unit 2,1000.0,0.0,0.0,0.0
34099,10/7/2017,Eastern,Sikkim,11.0,State,Hydro,Teesta-Iii Hps,Single Unit,1200.0,16.29,18.41,1.5341666666666667
34208,10/8/2017,Northern,Delhi,7.0,State,Ther (Gt),Pragati Ccgt-Iii,Single Unit,1500.0,6.12,10.84,0.7226666666666667
34231,10/8/2017,Northern,Himachal Pradesh,2.0,State,Hydro,Bhakra H P S,Single Unit,1325.0,10.64,16.89,1.2747169811320755
34244,10/8/2017,Northern,Himachal Pradesh,2.0,Private,Hydro,Karcham Wangtoo Hps,Single Unit,1000.0,6.45,8.43,0.843
34254,10/8/2017,Northern,Himachal Pradesh,2.0,Central,Hydro,Nathpa Jhakri Hps,Single Unit,1500.0,14.84,16.56,1.1039999999999999
34363,10/8/2017,Northern,Uttarakhand,5.0,Central,Hydro,Tehri St-1 Hps,Single Unit,1000.0,4.55,7.01,0.701
34565,10/8/2017,Western,Gujarat,24.0,State,Hydro,S Sarovar Rbph Hps,Single Unit,1200.0,13.55,0.0,0.0
34593,10/8/2017,Western,Gujarat,24.0,Private,Ther (Gt),Dgen Mega Ccpp,Single Unit,1200.0,0.0,0.0,0.0
34597,10/8/2017,Western,Gujarat,24.0,Private,Ther (Gt),Sugen Ccpp,Single Unit,1147.5,11.52,20.28,1.7673202614379084
34657,10/8/2017,Western,Madhya Pradesh,23.0,Central,Hydro,Indira Sagar Hps,Single Unit,1000.0,6.29,0.5,0.05
34698,10/8/2017,Western,Maharashtra,27.0,State,Hydro,Koyna-Iv Hps,Single Unit,1000.0,4.03,0.0,0.0
34757,10/8/2017,Western,Maharashtra,27.0,Central,Ther (Gt),Ratnagiri Ccpp,Single Unit,2220.0,11.64,12.71,0.5725225225225226
34840,10/8/2017,Southern,Karnataka,29.0,State,Hydro,Sharavathi Hps,Single Unit,1035.0,13.29,2.99,0.2888888888888889
34953,10/8/2017,Southern,Tamil Nadu,33.0,Central,Nuclear,Kudankulam,Unit 1,1000.0,21.58,14.53,1.4529999999999998
34954,10/8/2017,Southern,Tamil Nadu,33.0,Central,Nuclear,Kudankulam,Unit 2,1000.0,0.0,0.0,0.0
35077,10/8/2017,Eastern,Sikkim,11.0,State,Hydro,Teesta-Iii Hps,Single Unit,1200.0,16.29,21.57,1.7975
35186,10/9/2017,Northern,Delhi,7.0,State,Ther (Gt),Pragati Ccgt-Iii,Single Unit,1500.0,6.12,11.41,0.7606666666666667
35209,10/9/2017,Northern,Himachal Pradesh,2.0,State,Hydro,Bhakra H P S,Single Unit,1325.0,10.64,16.58,1.251320754716981
35222,10/9/2017,Northern,Himachal Pradesh,2.0,Private,Hydro,Karcham Wangtoo Hps,Single Unit,1000.0,6.45,8.62,0.8619999999999999
35232,10/9/2017,Northern,Himachal Pradesh,2.0,Central,Hydro,Nathpa Jhakri Hps,Single Unit,1500.0,14.84,16.43,1.0953333333333333
35341,10/9/2017,Northern,Uttarakhand,5.0,Central,Hydro,Tehri St-1 Hps,Single Unit,1000.0,4.55,7.08,0.7080000000000001
35543,10/9/2017,Western,Gujarat,24.0,State,Hydro,S Sarovar Rbph Hps,Single Unit,1200.0,13.55,0.0,0.0
35571,10/9/2017,Western,Gujarat,24.0,Private,Ther (Gt),Dgen Mega Ccpp,Single Unit,1200.0,0.0,0.0,0.0
35575,10/9/2017,Western,Gujarat,24.0,Private,Ther (Gt),Sugen Ccpp,Single Unit,1147.5,11.52,21.78,1.8980392156862746
35635,10/9/2017,Western,Madhya Pradesh,23.0,Central,Hydro,Indira Sagar Hps,Single Unit,1000.0,6.29,0.0,0.0
35676,10/9/2017,Western,Maharashtra,27.0,State,Hydro,Koyna-Iv Hps,Single Unit,1000.0,4.03,0.08,0.008
35735,10/9/2017,Western,Maharashtra,27.0,Central,Ther (Gt),Ratnagiri Ccpp,Single Unit,2220.0,11.64,12.71,0.5725225225225226
35818,10/9/2017,Southern,Karnataka,29.0,State,Hydro,Sharavathi Hps,Single Unit,1035.0,13.29,4.0,0.3864734299516908
35931,10/9/2017,Southern,Tamil Nadu,33.0,Central,Nuclear,Kudankulam,Unit 1,1000.0,21.58,14.52,1.452
35932,10/9/2017,Southern,Tamil Nadu,33.0,Central,Nuclear,Kudankulam,Unit 2,1000.0,0.0,0.0,0.0
36055,10/9/2017,Eastern,Sikkim,11.0,State,Hydro,Teesta-Iii Hps,Single Unit,1200.0,16.29,21.24,1.7699999999999998
36164,10/10/2017,Northern,Delhi,7.0,State,Ther (Gt),Pragati Ccgt-Iii,Single Unit,1500.0,6.12,11.95,0.7966666666666667
36187,10/10/2017,Northern,Himachal Pradesh,2.0,State,Hydro,Bhakra H P S,Single Unit,1325.0,10.64,16.47,1.2430188679245282
36200,10/10/2017,Northern,Himachal Pradesh,2.0,Private,Hydro,Karcham Wangtoo Hps,Single Unit,1000.0,6.45,8.61,0.861
36210,10/10/2017,Northern,Himachal Pradesh,2.0,Central,Hydro,Nathpa Jhakri Hps,Single Unit,1500.0,14.84,16.45,1.0966666666666667
36319,10/10/2017,Northern,Uttarakhand,5.0,Central,Hydro,Tehri St-1 Hps,Single Unit,1000.0,4.55,7.19,0.719
36521,10/10/2017,Western,Gujarat,24.0,State,Hydro,S Sarovar Rbph Hps,Single Unit,1200.0,13.55,0.0,0.0
36549,10/10/2017,Western,Gujarat,24.0,Private,Ther (Gt),Dgen Mega Ccpp,Single Unit,1200.0,0.0,0.0,0.0
36553,10/10/2017,Western,Gujarat,24.0,Private,Ther (Gt),Sugen Ccpp,Single Unit,1147.5,11.52,20.77,1.8100217864923747
36613,10/10/2017,Western,Madhya Pradesh,23.0,Central,Hydro,Indira Sagar Hps,Single Unit,1000.0,6.29,0.44,0.044000000000000004
36654,10/10/2017,Western,Maharashtra,27.0,State,Hydro,Koyna-Iv Hps,Single Unit,1000.0,4.03,0.1,0.01
36713,10/10/2017,Western,Maharashtra,27.0,Central,Ther (Gt),Ratnagiri Ccpp,Single Unit,2220.0,11.64,12.99,0.5851351351351352
36796,10/10/2017,Southern,Karnataka,29.0,State,Hydro,Sharavathi Hps,Single Unit,1035.0,13.29,6.05,0.5845410628019324
36909,10/10/2017,Southern,Tamil Nadu,33.0,Central,Nuclear,Kudankulam,Unit 1,1000.0,21.58,14.66,1.466
36910,10/10/2017,Southern,Tamil Nadu,33.0,Central,Nuclear,Kudankulam,Unit 2,1000.0,0.0,0.0,0.0
37033,10/10/2017,Eastern,Sikkim,11.0,State,Hydro,Teesta-Iii Hps,Single Unit,1200.0,16.29,21.04,1.7533333333333332
37142,10/11/2017,Northern,Delhi,7.0,State,Ther (Gt),Pragati Ccgt-Iii,Single Unit,1500.0,6.12,10.29,0.6859999999999999
37165,10/11/2017,Northern,Himachal Pradesh,2.0,State,Hydro,Bhakra H P S,Single Unit,1325.0,10.64,15.09,1.1388679245283018
37178,10/11/2017,Northern,Himachal Pradesh,2.0,Private,Hydro,Karcham Wangtoo Hps,Single Unit,1000.0,6.45,8.18,0.818
37188,10/11/2017,Northern,Himachal Pradesh,2.0,Central,Hydro,Nathpa Jhakri Hps,Single Unit,1500.0,14.84,15.28,1.0186666666666666
37297,10/11/2017,Northern,Uttarakhand,5.0,Central,Hydro,Tehri St-1 Hps,Single Unit,1000.0,4.55,7.13,0.713
37499,10/11/2017,Western,Gujarat,24.0,State,Hydro,S Sarovar Rbph Hps,Single Unit,1200.0,13.55,0.0,0.0
37527,10/11/2017,Western,Gujarat,24.0,Private,Ther (Gt),Dgen Mega Ccpp,Single Unit,1200.0,0.0,0.0,0.0
37531,10/11/2017,Western,Gujarat,24.0,Private,Ther (Gt),Sugen Ccpp,Single Unit,1147.5,11.52,19.61,1.7089324618736383
37591,10/11/2017,Western,Madhya Pradesh,23.0,Central,Hydro,Indira Sagar Hps,Single Unit,1000.0,6.29,0.88,0.08800000000000001
37632,10/11/2017,Western,Maharashtra,27.0,State,Hydro,Koyna-Iv Hps,Single Unit,1000.0,4.03,0.0,0.0
37691,10/11/2017,Western,Maharashtra,27.0,Central,Ther (Gt),Ratnagiri Ccpp,Single Unit,2220.0,11.64,11.66,0.5252252252252253
37774,10/11/2017,Southern,Karnataka,29.0,State,Hydro,Sharavathi Hps,Single Unit,1035.0,13.29,4.81,0.4647342995169082
37887,10/11/2017,Southern,Tamil Nadu,33.0,Central,Nuclear,Kudankulam,Unit 1,1000.0,21.58,14.96,1.496
37888,10/11/2017,Southern,Tamil Nadu,33.0,Central,Nuclear,Kudankulam,Unit 2,1000.0,0.0,0.0,0.0
38011,10/11/2017,Eastern,Sikkim,11.0,State,Hydro,Teesta-Iii Hps,Single Unit,1200.0,16.29,18.92,1.5766666666666669
38120,10/12/2017,Northern,Delhi,7.0,State,Ther (Gt),Pragati Ccgt-Iii,Single Unit,1500.0,6.12,11.71,0.7806666666666667
38143,10/12/2017,Northern,Himachal Pradesh,2.0,State,Hydro,Bhakra H P S,Single Unit,1325.0,10.64,13.63,1.028679245283019
38156,10/12/2017,Northern,Himachal Pradesh,2.0,Private,Hydro,Karcham Wangtoo Hps,Single Unit,1000.0,6.45,8.0,0.8
38166,10/12/2017,Northern,Himachal Pradesh,2.0,Central,Hydro,Nathpa Jhakri Hps,Single Unit,1500.0,14.84,15.78,1.052
38275,10/12/2017,Northern,Uttarakhand,5.0,Central,Hydro,Tehri St-1 Hps,Single Unit,1000.0,4.55,7.11,0.711
38477,10/12/2017,Western,Gujarat,24.0,State,Hydro,S Sarovar Rbph Hps,Single Unit,1200.0,13.55,0.0,0.0
38505,10/12/2017,Western,Gujarat,24.0,Private,Ther (Gt),Dgen Mega Ccpp,Single Unit,1200.0,0.0,0.0,0.0
38509,10/12/2017,Western,Gujarat,24.0,Private,Ther (Gt),Sugen Ccpp,Single Unit,1147.5,11.52,20.35,1.7734204793028323
38569,10/12/2017,Western,Madhya Pradesh,23.0,Central,Hydro,Indira Sagar Hps,Single Unit,1000.0,6.29,1.25,0.125
38610,10/12/2017,Western,Maharashtra,27.0,State,Hydro,Koyna-Iv Hps,Single Unit,1000.0,4.03,0.41,0.041
